主峰角度(°),次峰角度(°)
5.533675,10.394987
53.842087,12.316776
47.347824,9.325781
2.406395,4.895975
45.373619,7.145507
8.147961,6.301125
51.173045,10.156380
44.409956,7.224288
43.905676,6.582739
55.621150,12.547519
47.948575,7.320175
45.206447,6.218349
52.873149,12.515831
48.141185,8.000617
52.772913,10.998893
4.827742,12.656980
43.215927,6.124509
53.189545,10.343415
11.794547,8.464367
48.737560,6.855794
48.231849,9.583150
2.974804,9.955957
45.642399,7.416099
43.188752,6.260898
45.586690,7.232953
49.970148,8.283144
43.206774,5.575746
49.170664,8.667900
