行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性,备注
1,42.4081,1.9469,-39.2276,-6.1889,-3.541431,-0.354856,-45.0466,8.892726,18.909372,0.004424,0.647356,合法,正常
4,40.4176,1.7424,-39.2672,-5.3744,-5.028594,-0.504098,-35.6186,0.042446,-2.064082,0.000163,2.090289,合法,正常
6,44.8082,3.4337,-40.2034,-7.0088,-5.181229,-0.434744,-40.0656,0.011417,-2.166195,0.000002,2.224132,合法,正常
7,44.3546,3.9066,-39.7719,-6.0768,-3.476808,-0.313468,-47.0558,9.380621,19.371155,0.00381,0.570621,合法,正常
8,43.033,2.2948,-39.7152,-5.9664,-4.352141,-0.401127,-40.5649,-0.018088,-2.067492,0.000512,1.410386,合法,正常
9,44.934,2.911,-39.7123,-5.834,-4.994358,-0.462228,-39.6441,0.021254,-2.129281,0,2.047222,合法,正常
10,45.9447,4.2736,-41.3692,-7.0569,-4.576843,-0.289859,-43.519,-0.021675,-2.058297,0.000105,1.603263,合法,正常
5,40.975,1.5963,-38.3659,-5.5526,-3.298859,-0.378222,-44.3437,8.566541,17.099964,0.00604,0.482046,合法,正常
2,40.7775,1.6934,-38.8753,-6.1976,-5.358724,-0.574505,-35.059,0.043733,-2.150294,0.000103,2.427681,合法,正常
3,42.7461,1.7356,-40.0873,-6.3656,-3.442501,-0.291536,-44.9286,9.833222,20,0.003074,0.529906,合法,正常
