行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性,备注
1,41.2971,3.6126,-42.9909,-6.3311,-3.062318,-0.105873,-41.6974,-0.016630,-1.345336,0.000387,1.067581,合法
2,41.7315,3.1675,-44.5479,-7.7948,-2.840091,-0.021999,-42.3604,-0.026171,-1.186939,0.000113,0.840379,合法,正常
3,42.2262,2.8230,-41.6020,-4.9429,-3.675587,-0.218507,-37.7967,0.053554,-1.400460,0.000065,1.689774,合法
4,42.7171,3.5458,-43.9256,-6.9998,-2.506584,-0.043135,-47.2757,10.000000,14.055874,0.001912,0.508417,合法
5,40.5418,2.3959,-42.3102,-5.5013,-3.182352,-0.149509,-37.8522,0.035288,-1.240601,0.000000,1.191767,合法,正常
6,42.6248,3.8776,-41.5959,-5.1332,-3.156490,-0.187758,-39.2205,0.039500,-1.250015,0.000000,1.171632,合法,正常
7,42.6962,3.1363,-42.9951,-6.5614,-2.431507,-0.079556,-47.1013,9.537815,13.193264,0.002464,0.438779,合法
8,41.0783,2.6284,-42.3194,-5.8551,-3.375067,-0.158017,-37.6198,0.043011,-1.266043,0.000038,1.384117,合法,正常
9,39.8568,2.1506,-41.5994,-6.1443,-3.558306,-0.211978,-35.2529,0.060367,-1.267194,0.000106,1.572657,合法,正常
10,43.0102,4.3709,-43.0538,-6.3416,-3.516229,-0.120056,-39.9727,0.035994,-1.302454,0.000131,1.520975,合法,正常
