行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性,备注
1,41.2971,3.6126,-42.9909,-6.3311,-4.166266,-0.149094,-34.3565,-8.706271,-15.948787,0.001861,2.171390,合法,正常
2,41.7315,3.1675,-44.5479,-7.7948,-2.840091,-0.021999,-42.3604,-0.026171,-1.186939,0.000113,0.840379,合法,正常
3,42.2262,2.8230,-41.6020,-4.9429,-3.912646,-0.233936,-35.1683,-10.000000,-18.532187,0.000816,1.926899,合法,正常
4,42.7171,3.5458,-43.9256,-6.9998,-5.521464,-0.106632,-34.0350,-7.510661,-16.781312,0.003534,3.523078,合法,正常
5,40.5418,2.3959,-42.3102,-5.5013,-3.182352,-0.149509,-37.8522,0.035288,-1.240601,0.000000,1.191767,合法,正常
6,42.6248,3.8776,-41.5959,-5.1332,-3.156490,-0.187758,-39.2205,0.039500,-1.250015,0.000000,1.171632,合法,正常
7,42.6962,3.1363,-42.9951,-6.5614,-4.412579,-0.156522,-35.4563,-10.000000,-19.933916,0.001672,2.417651,合法,正常
8,41.0783,2.6284,-42.3194,-5.8551,-3.375067,-0.158017,-37.6198,0.043011,-1.266043,0.000038,1.384117,合法,正常
9,39.8568,2.1506,-41.5994,-6.1443,-3.558306,-0.211978,-35.2529,0.060367,-1.267194,0.000106,1.572657,合法,正常
10,43.0102,4.3709,-43.0538,-6.3416,-3.516229,-0.120056,-39.9727,0.035994,-1.302454,0.000131,1.520975,合法,正常
