RowNumber,OriginalValidity,TransmitterX,TransmitterY,TransmitterBeta_deg,ReflectorA,ReflectorB,theta1_deg,theta2_deg,EstimatedReceiverX,EstimatedReceiverY,PositionError_m,InversionSuccess
1,合法,5.76507,-0.003803,135.2019,-0.02733,2.931401,-42.64,-2.6882,-0.463302664165308,-0.260493422844151,0.531513106110972,1
2,合法,6.346213,-0.000293,135.666,-0.018503,3.036977,-41.6166,-3.6407,-0.646413813858376,-0.41369852916323,0.767461589774206,1
3,合法,6.248066,-0,136.72,0.001901,2.955113,-41.9761,-2.0182,-0.513967719882847,-0.357211651967862,0.625909723029752,1
4,合法,5.908987,-9.5e-05,134.147,-0.03139,2.949939,-43.2077,-5.2498,-0.811923747793732,-0.210404015428117,0.838743120353124,1
5,合法,4.649681,-0.061339,135.1596,-9.591795,19.960293,-41.5635,-3.4245,-0.148866211091194,-0.349493032021631,0.379876990927749,1
6,合法,6.746619,-0,136.3353,-0.02888,3.164515,-43.6865,-4.4887,-0.214306589873828,-0.159606482570654,0.267210672956612,1
7,合法,4.751598,-0.019329,135.1773,-8.099861,17.020257,-41.5223,-3.7455,-0.064152987883298,-0.311991650631307,0.318519066804488,1
8,合法,4.965201,-0,137.4742,-8.975079,20,-42.4125,-0.1913,-0.0636537429036573,-0.227259580256836,0.23600575375223,1
9,合法,5.270948,-5e-06,138.5254,-7.914025,18.347225,-41.5177,-3.4612,-0.0800408496763434,-0.325626300905333,0.335319288825146,1
10,合法,6.575531,-0.000298,134.3347,-0.043275,3.168214,-42.4536,-5.6733,-0.591533676314729,-0.319034196680401,0.672082516411435,1
