行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,43.1499,-0.4746,-42.6400,-2.6882,-6.556748,-0.273095,-38.8989,0.042877,-2.740808,0.000562,1.580520,合法
2,43.5830,0.7996,-41.6166,-3.6407,-3.576777,-0.211458,-54.2715,5.091025,10.803671,0.009243,1.438846,合法
3,42.8388,0.3718,-41.9761,-2.0182,-7.194557,-0.380059,-39.8126,0.030934,-3.234203,0.000000,2.227224,合法
4,43.3618,1.1411,-43.2077,-5.2498,-4.244510,-0.127142,-49.2518,7.168616,17.490197,0.003974,0.766114,合法
5,43.7662,2.1480,-41.5635,-3.4245,-4.467629,-0.268677,-49.4667,7.537262,19.535741,0.006274,0.596327,合法
6,43.5604,-0.1610,-43.6865,-4.4887,-4.614392,-0.101455,-49.7026,6.810052,17.974687,0.003555,0.398731,合法
7,44.9977,2.7003,-41.5223,-3.7455,-4.064504,-0.244187,-51.8237,6.193830,14.785348,0.006829,0.966840,合法
8,43.3189,0.6600,-42.4125,-0.1913,-5.312813,-0.239531,-44.9898,-0.033631,-3.019052,0.001200,0.393989,合法
9,43.1088,0.6303,-41.5177,-3.4612,-4.161948,-0.250272,-48.6813,7.280129,17.602181,0.005040,0.874624,合法
10,44.5829,1.3817,-42.4536,-5.6733,-4.114729,-0.182907,-49.9562,6.399557,15.437180,0.004993,0.903969,合法
