% 批量定位结果 - 参考点(-5.0, 0.0)
% 生成时间: 2025-12-06 12:14:56
行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,43.1499,-0.4746,-42.6400,-2.6882,-7.619286,-0.386544,-39.1371,0.068511,-2.973971,0.015674,2.647654,合法
2,43.5830,0.7996,-41.6166,-3.6407,-6.197409,-0.347567,-43.0221,0.023838,-2.850515,0.017623,1.246832,合法
3,42.8388,0.3718,-41.9761,-2.0182,-7.898413,-0.605486,-38.0747,0.076182,-2.982424,0.074196,2.960982,合法
4,43.3618,1.1411,-43.2077,-5.2498,-5.355545,0.130223,-44.6179,-0.009374,-2.517587,0.135744,0.378642,合法
5,43.7662,2.1480,-41.5635,-3.4245,-9.124399,-0.604138,-34.1497,0.161290,-2.741364,0.084609,4.168411,合法
6,43.5604,-0.1610,-43.6865,-4.4887,-7.677157,-0.439101,-39.5925,0.036654,-3.074136,0.076283,2.712928,合法
7,44.9977,2.7003,-41.5223,-3.7455,-6.725613,-0.252407,-42.0785,-0.003275,-2.944647,0.042415,1.743975,合法
8,43.3189,0.6600,-42.4125,-0.1913,-7.640644,-0.513908,-33.5914,0.076066,-2.952295,0.086776,2.690186,合法
9,43.1088,0.6303,-41.5177,-3.4612,-6.020710,-0.275249,-38.8316,0.042484,-2.731646,0.054334,1.057171,合法
10,44.5829,1.3817,-42.4536,-5.6733,-6.750857,-0.137284,-41.9526,-0.085416,-3.130181,0.213014,1.756231,合法
