行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,43.1499,-0.4746,-42.6400,-2.6882,6.433989,-0.014097,136.4420,-0.021462,3.070831,0.014540,1.434058,合法
2,43.5830,0.7996,-41.6166,-3.6407,6.346213,-0.000293,135.6660,-0.018503,3.036977,0.027590,1.346213,合法
3,42.8388,0.3718,-41.9761,-2.0182,6.248066,-0.000000,136.7200,0.001901,2.955113,0.020644,1.248066,合法
4,43.3618,1.1411,-43.2077,-5.2498,7.142751,-0.000000,136.4113,-0.023649,3.224654,0.009208,2.142751,合法
5,43.7662,2.1480,-41.5635,-3.4245,4.649681,-0.061339,135.1596,-9.591795,19.960293,0.110549,0.355648,合法
6,43.5604,-0.1610,-43.6865,-4.4887,6.746619,-0.000000,136.3353,-0.028880,3.164515,0.004369,1.746619,合法
7,44.9977,2.7003,-41.5223,-3.7455,4.751598,-0.019329,135.1773,-8.099861,17.020257,0.122882,0.249153,合法
8,43.3189,0.6600,-42.4125,-0.1913,4.965201,-0.000000,137.4742,-8.975079,20.000000,0.058851,0.034799,合法
9,43.1088,0.6303,-41.5177,-3.4612,6.402801,-0.000001,136.2620,-0.012365,3.029058,0.029245,1.402801,合法
10,44.5829,1.3817,-42.4536,-5.6733,6.575531,-0.000298,134.3347,-0.043275,3.168214,0.018638,1.575531,合法
