RowNumber,OriginalValidity,TransmitterX,TransmitterY,TransmitterBeta_deg,ReflectorA,ReflectorB,theta1_deg,theta2_deg,EstimatedReceiverX,EstimatedReceiverY,PositionError_m,InversionSuccess
1,合法,4.455918,-0.077909,132.3729,0.005348,2.177978,-45.7034,-0.6054,-0.167179791443676,-0.0211500136576638,0.168512331135945,1
2,合法,4.587623,-0,132.2958,0.006362,2.248618,-44.9281,-0.0209,-0.00587631120221191,-0.00576434733322894,0.00823156932324236,1
3,合法,3.977025,-0.133447,126.3248,8.56096,-18.405054,-46.0164,-0.8753,-0.0235298625654254,-0.0624716056742954,0.0667559431651779,1
4,合法,3.887221,-0.114912,129.0869,-0.014356,2.071854,-45.9611,-0.7236,-0.348780195969899,-0.0438491280184687,0.351525775909507,1
5,合法,4.736593,-1e-06,132.5217,0.006031,2.279207,-44.6316,-0.5824,-0.0327148788409336,-0.030667084846864,0.0448412019306098,1
6,合法,4.754636,-0,133.695,0.022247,2.245135,-44.2807,0.2697,-0.0653216561057438,-0.0605136665149905,0.0890439362982373,1
7,合法,4.724712,-0.095004,135.4579,-9.704386,20,-46.9041,-1.4879,0.20098628915686,0.0553875056377945,0.208478450228847,1
8,合法,4.460718,-0.022251,132.39,0.001121,2.21966,-44.9794,-0.2271,-0.0755465134200252,-0.0238819587511885,0.0792314561504174,1
9,合法,3.812126,-0.513282,124.6864,8.130176,-15.588378,-46.618,-1.5077,-0.419459547762864,-0.393752672387229,0.57531511297854,1
10,合法,4.899192,-0.022669,133.5752,0.00643,2.301422,-45.458,-1.1178,0.0110415504039059,0.0164057906801793,0.0197753837678022,1
