行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,46.4968,3.2039,-45.7034,-0.6054,4.455918,-0.077909,132.3729,0.005348,2.177978,0.001163,0.462527,合法
2,47.7040,3.4537,-44.9281,-0.0209,4.587623,-0.000000,132.2958,0.006362,2.248618,0.000010,0.587623,合法
3,48.3209,3.4004,-46.0164,-0.8753,3.977025,-0.133447,126.3248,8.560960,-18.405054,0.037976,0.135410,合法
4,48.4514,3.7097,-45.9611,-0.7236,3.887221,-0.114912,129.0869,-0.014356,2.071854,0.005859,0.161009,合法
5,47.4705,3.7512,-44.6316,-0.5824,4.736593,-0.000001,132.5217,0.006031,2.279207,0.000274,0.736593,合法
6,46.2764,3.5800,-44.2807,0.2697,4.754636,-0.000000,133.6950,0.022247,2.245135,0.001056,0.754636,合法
7,46.9102,3.0921,-46.9041,-1.4879,4.724712,-0.095004,135.4579,-9.704386,20.000000,0.056779,0.730913,合法
8,47.0052,2.9847,-44.9794,-0.2271,4.460718,-0.022251,132.3900,0.001121,2.219660,0.000551,0.461255,合法
9,46.7926,3.1445,-46.6180,-1.5077,3.812126,-0.513282,124.6864,8.130176,-15.588378,0.061952,0.546585,合法
10,46.5394,2.9889,-45.4580,-1.1178,4.899192,-0.022669,133.5752,0.006430,2.301422,0.000324,0.899477,合法
