行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,42.4081,1.9469,-39.2276,-6.1889,3.663914,-0.000031,135.7725,-0.027629,1.731889,0.093144,0.663914,合法
2,40.7775,1.6934,-38.8753,-6.1976,3.727875,-0.000020,137.2644,-0.014492,1.716955,0.110469,0.727875,合法
3,42.7461,1.7356,-40.0873,-6.3656,3.775712,-0.000000,135.7991,-0.031876,1.767281,0.069480,0.775712,合法
4,40.4176,1.7424,-39.2672,-5.3744,3.735269,-0.000000,137.7466,-0.003311,1.698992,0.096962,0.735269,合法
5,40.9750,1.5963,-38.3659,-5.5526,3.420143,-0.000000,133.9415,10.000000,-18.876389,0.164414,0.420143,合法
6,44.8082,3.4337,-40.2034,-7.0088,2.910175,-0.023249,128.4402,7.203544,-11.787459,0.135090,0.092785,合法
7,44.3546,3.9066,-39.7719,-6.0768,3.661189,-0.000013,133.7521,-0.029054,1.735744,0.077917,0.661189,合法
8,43.0330,2.2948,-39.7152,-5.9664,3.687516,-0.000000,135.3516,-0.026612,1.737095,0.078041,0.687516,合法
9,44.9340,2.9110,-39.7123,-5.8340,3.559038,-0.000000,133.5069,-0.036284,1.729462,0.072346,0.559038,合法
10,45.9447,4.2736,-41.3692,-7.0569,3.892159,-0.010721,129.9982,7.813351,-17.299566,0.082462,0.892223,合法
