行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,48.7931,3.4038,-46.3788,-1.1366,4.397473,-0.105844,129.8254,-0.025420,2.227726,0.000000,0.411324,合法
2,45.8859,3.1128,-44.7526,0.0413,4.026766,-0.001450,132.2351,-0.024439,2.170090,0.000936,0.026805,合法
3,46.3390,3.0522,-46.0782,-0.9098,7.921519,-0.148274,138.8320,-6.627906,20.000000,0.007163,3.924321,合法
4,47.3703,3.6450,-45.8923,-1.3524,4.416496,-0.067455,130.2250,-0.042860,2.345163,0.000650,0.421923,合法
5,48.4213,4.2643,-45.8514,-0.7370,6.883604,-0.102657,134.9398,0.091896,2.410405,0.002684,2.885430,合法
6,46.9153,3.1016,-44.5089,0.0701,5.007558,-0.009002,133.1390,0.056614,2.116415,0.004471,1.007599,合法
7,47.0955,3.5327,-44.8802,-0.3201,2.941300,-0.001130,127.1420,7.767071,-12.567992,0.005041,1.058701,合法
8,45.9867,2.9446,-45.3497,-0.6068,3.013777,-0.029945,128.1117,9.952070,-16.128034,0.004733,0.986677,合法
9,45.9424,2.7345,-43.6928,0.4739,3.062212,-0.000015,129.0043,9.820095,-16.262914,0.008805,0.937788,合法
10,48.1116,3.7802,-44.9398,-0.2811,6.892979,-0.004850,136.9742,0.103854,2.413324,0.002907,2.892983,合法
