行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,46.0470,2.5532,-47.1501,-1.1837,4.431093,-0.181406,131.3443,-0.022207,2.187606,0.000287,0.467706,合法
2,46.6498,3.4523,-45.4545,-0.4413,4.731435,-0.037541,132.8954,0.007909,2.255359,0.000000,0.732397,合法
3,46.7975,3.1391,-45.1900,-0.4341,4.568832,-0.031188,132.5045,0.001146,2.238595,0.000279,0.569687,合法
4,46.6155,3.4251,-46.6784,-1.5224,4.710713,-0.138038,131.7061,-0.012138,2.248738,0.000000,0.723994,合法
5,46.9939,3.6737,-43.7776,0.3266,4.633327,-0.000000,132.9296,0.016976,2.233061,0.002913,0.633327,合法
6,46.0428,3.0744,-44.1111,-0.3544,4.862101,-0.002177,136.5958,-9.126910,19.649721,0.042032,0.862104,合法
7,44.9167,2.7923,-45.9103,-1.3697,5.159789,-0.064164,134.7400,0.011373,2.321727,0.000529,1.161562,合法
8,46.6187,2.5776,-49.2852,-3.1523,4.730345,-0.357692,129.4176,-0.052109,2.254404,0.001478,0.813233,合法
9,49.1301,4.2478,-42.8050,1.2818,4.356370,-0.000333,131.0307,0.018728,2.177500,0.008496,0.356371,合法
10,47.8214,3.8767,-45.8819,-0.0803,4.189964,-0.004537,134.2940,-9.356270,17.567287,0.045353,0.190018,合法
