行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,48.7931,3.4038,-46.3788,-1.1366,4.268663,-0.118377,129.3306,-0.030158,2.200832,0.000270,0.293586,合法
2,45.8859,3.1128,-44.7526,0.0413,4.753002,-0.000547,134.1519,0.021832,2.244934,0.000189,0.753002,合法
3,46.3390,3.0522,-46.0782,-0.9098,4.696098,-0.088421,132.5818,-0.002408,2.247207,0.000000,0.701691,合法
4,47.3703,3.6450,-45.8923,-1.3524,4.484286,-0.097282,130.9409,-0.017769,2.231230,0.000859,0.493960,合法
5,48.4213,4.2643,-45.8514,-0.7370,4.581870,-0.068078,130.7277,-0.006500,2.243028,0.000000,0.585839,合法
6,46.9153,3.1016,-44.5089,0.0701,4.630079,-0.000000,133.0723,0.010874,2.246789,0.000467,0.630079,合法
7,47.0955,3.5327,-44.8802,-0.3201,4.725187,-0.000001,132.9033,0.009750,2.268344,0.000029,0.725187,合法
8,45.9867,2.9446,-45.3497,-0.6068,4.792362,-0.029229,133.6640,0.008741,2.269563,0.000000,0.792901,合法
9,45.9424,2.7345,-43.6928,0.4739,4.624921,-0.000000,133.9739,0.019234,2.226279,0.003322,0.624921,合法
10,48.1116,3.7802,-44.9398,-0.2811,4.612074,-0.000001,131.8882,0.003380,2.260361,0.000007,0.612074,合法
